Italian,English
abbastanza,enough
tardi,late
bel,nice
cuore,heart
famiglia,family
far,make
stati,States
aiuto,Help
diavolo,Devil
nostri,our
col,with the
quasi,almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,while
scusa,excuse me
sola,alone
spero,I hope
quelle,those
trovare,find
giro,round
anch',Anch '
guerra,war
sue,his
bambino,baby
strada,Street
vecchio,old
fratello,brother
acqua,water
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,yours
veramente,truly
finito,finished
marito,husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,backards
stessa,itself
importa,it matters
nessun,no
punto,point
invece,instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speaks
farò,Lighthouse
cercando,looking for
l,L
verità,truth
andato,left
quell',that'
re,king
fanno,do
potrei,I could
importante,important
quest',This
amo,love you
chiesto,asked
cosi,as
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,little
prendi,take
dietro,behind
sapevo,knew
buongiorno,good morning
passato,past
dollari,dollars
com',com
pure,mashed potato
pensare,to think
cinque,five
vicino,near
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,to live
colpa,guilt
portato,carried
entrare,to come in
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,hard
settimana,week
ultima,ultimate
dovrei,I should
fatta,made
conto,I count
stanza,room
fra,between
comunque,Anyway
sentire,feel
numero,number
parlato,spoke
mente,mind
messo,put in order
strano,strange
fortuna,fortune
perdere,to lose
tue,yours
né,neither
figlia,daughter
molti,many
volete,you want
dottor,dottor
parola,word
signori,gentlemen
andata,round
vista,view
vede,see
nessuna,none
finché,until
dare,to give
dammi,give me
Mr.,Mr.
mesi,months
fuoco,fire
voleva,she wanted
mangiare,to eat
lasciato,left
figli,children
serio,serious
paese,village
farà,will make
capire,to understand
mezzo,half
prova,he tries
cara,Dear
perche',because'
cane,dog
dimmi,Tell me
fossi,you were
senso,sense
James,James
riesco,I can
ieri,yesterday
possa,may
potuto,could
scuola,school
S.,S.
possono,can
lavorare,work
significa,it means
resto,rest
vada,go
piccola,small
pare,it seems
bere,drinking
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,how many
gran,great
attimo,moment
ascolta,listens
agli,to
dovresti,should
corpo,body
musica,music
gioco,game
qual,a
aria,air
sarò,I'll be
farmi,do
magari,let's hope
davanti,front
new,new
chiamo,call
genere,genus
libro,book
domanda,request
chiamato,called
passare,pass
dalle,give her
campo,field
lungo,long
torna,back
paio,pair
stava,stood
finita,finite
saranno,they will be
vogliono,want
hey,hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,stia
signorina,Miss
festa,party
spiace,sorry
sopra,on
bisogna,need
vuol,vuol
telefono,telephone
affari,business
facile,easy
parlando,speaking
caro,expensive
sui,on
pronti,ready
restare,to remain
attenzione,Attention
crede,you think
nostre,our
controllo,control
molte,many
unica,only
dovremmo,we should
farti,make yourself
soltanto,only
piu',more'
buono,good
puttana,whore
vivo,I live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,very good
Harry,Harry
foto,photo
unico,single
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,they are
ufficio,office
entra,walk in
chiedo,ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I thought
voglia,wants
potremmo,we could
esatto,exact
credere,believe
tratta,deals with
eravamo,we were
arrivato,arrived
bambina,girl
pistola,pistol
voce,voice
dormire,to sleep
lasci,leave
avessi,I had
chiaro,clear
aspetto,appearance
squadra,squad
attento,watch out
cerca,search for
ordine,order
Joey,Joey
arrivederci,Until we meet again
arriva,he arrives
armi,weapons
sulle,on
ormai,at this point
maggiore,greater
fretta,rush
sarai,you will be
sacco,sack
fatti,facts
York,York
parli,you speak
colpo,hit
sarei,I would be
m',m
caffè,coffee
capisci,Do you understand
dicendo,saying
vostri,your
camera,room
alcuni,some
cercare,search for
arrivo,I arrive
aspettare,wait
situazione,situation
faremo,we will do
deciso,decided
esattamente,exactly
dev',dev
addio,goodbye
scena,scene
inglese,English
perfetto,perfect
potete,you can
fammi,do for me
alto,tall
dello,of the
prendo,I catch
conosci,you know
be',be
sapete,You know
pazzo,crazy
chiami,who do you Love
tornato,got back
sicura,safe
lasciare,leave
capelli,hair
potere,power
avevi,you had
morti,dead
avrà,will have
fantastico,fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,aspects
torno,turn
arrivare,get
guai,trouble
trova,finds
motivo,reason
resta,remains
inizio,Start
smettila,stop that
diventare,become
potresti,could
n',n '
voluto,desired
vanno,they go
disse,She said
morta,dead
de,de
bagno,bathroom
zio,uncle
futuro,future
sbagliato,wrong
guardi,look
cosi',as'
sicurezza,safety
pezzo,piece
devono,must
venuta,coming
allo,at the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hate
sull',On
giocare,play
lontano,distant
durante,during
segreto,secret
sole,Sun
mettere,to put
venite,Come
dirmi,tell me
sistema,system
viaggio,voyage
causa,it causes
r,r
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,funny
avresti,you would have
grandi,large
presidente,president
bocca,mouth
permesso,permit
vecchia,old
culo,ass
sogno,dream
glielo,it
c,c
guardare,watch
probabilmente,probably
vengo,I come
lasciami,leave me
ie,ie
negli,in
do,do
fermo,stopped
zitto,Shut up
vera,real
tante,many
ln,ln
colonnello,colonel
stupido,stupid
Cristo,Christ
conosce,knows
fame,hunger
cura,treatment
prigione,prison
finire,finish
farai,do
d,d
buonanotte,good night
Tom,Tom
prossima,next
brava,good
specie,species
prende,takes
piacerebbe,would like
circa,about
funziona,it works
dovete,you have to
brutto,ugly
vattene,get out
sente,feel
cavallo,horse
peccato,Sin
mattina,morning
consiglio,advise
cambiare,change
saperlo,know
usare,use
naturalmente,naturally
continua,go on
scelta,choice
possibilità,possibility
spesso,often
dà,from
dirti,tell you
piuttosto,Rather
trovo,I find
fondo,background
ricorda,remember
guardate,watch
ospedale,hospital
qualunque,any
Maria,Mary
andrà,will go
legge,law
agente,agent
oltre,beyond
avesse,he had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,did
energia,power
incredibile,incredible
sala,room
mandato,mandate
chiamare,call
doveva,where you go
libero,free
aereo,airplane
ricevuto,received
porti,ports
preoccuparti,care
uh,uh
finalmente,long last
quali,Which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,you put
Henry,Henry
programma,plan
poteva,he could
parti,set off
saputo,known
partita,match
gentile,Kind
poter,be able
freddo,cold
s',s'
piacciono,like
Clark,Clark
vederti,see you
domande,requests
peggio,worse
sanno,know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how much it is
pieno,full
rapporto,report
avrai,you will have
alcune,someone
provare,try
carino,cute
scoperto,discovered
America,America
denaro,money
compagnia,company
interessante,Interesting
avvocato,lawyer
t',t
vestito,dress
ottimo,optimal
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,happening
mese,month
impossibile,impossible
chiunque,whoever
vale,vale
nello,in
milioni,millions
cibo,food
tempi,time
jim,jim
piu,more
laggiù,over there
intorno,environment
servono,serve
chiave,key
coi,with
diritto,right
dimenticato,forgotten
ve,ve
natale,Christmas
calma,calm
altrimenti,otherwise
t,t
Miss,Miss
provato,tried
dirlo,tell him
cinema,cinema
chiedere,ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
TV,TV
pagare,to pay
pianeta,planet
fronte,forehead
addosso,on
entrambi,both of them
dia,dia
cambiato,changed
interessa,interest
assolutamente,absolutely
risposta,reply
rispetto,respect
pena,penalty
Gesù,Jesus
Michael,Michael
incontro,meeting
cercato,looked for
occhiata,look
pensando,think
cioè,that is
the,The
notizie,news
sorpresa,surprise
bastardo,Bastard
salute,health
lettera,letter
incidente,accident
grosso,big
soli,sole
mica,not
sembrava,It seemed
grado,grade
aiutare,to help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,He knew
santo,holy
verrà,it will come
saremo,We will be
speciale,special
diceva,he said
posizione,position
gruppo,group
giuro,I swear
